id,mediaType,title,section,useCase,aspectRatio,trackType,appealTags,relatabilityTags,scenarioTags,diversityTags,thumbnail
FS-001,image,Homepage Hero Couple Reviewing Retirement Plans,Hero Images,Main homepage hero,16:9,,Trustworthy; Reassuring; Hopeful; Warm; Clear; Professional,Couples; Spouses; Federal Employees; Near-Retirees; Families,Planning at Home; Reviewing Paperwork; Retirement Benefits; Family Legacy,White; Black; Latino; Asian; Multiracial; Mixed Group,/artworks/generated/FS-001_homepage_hero_couple.png
FS-002,image,Service to Retirement Hero,Hero Images,Alternate homepage hero,16:9,,Service; Dignified; Reflective; Hopeful; Confident,Public Servants; Federal Employees; Near-Retirees; Civilian Professionals,Transition into Retirement; Reviewing Paperwork; Service and Honor,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-003,image,Air Force Officer and Spouse Reviewing Retirement Paperwork,Federal Roles,Military / federal role section,16:9,,Military; Honor; Family-Oriented; Confident; Prepared,Military Retirees; Spouses; Couples; Federal Employees,Planning at Home; Reviewing Paperwork; Transition into Retirement; Service and Honor,White; Black; Latino; Asian; Multiracial; Mixed Group,/artworks/generated/FS-003_air_force_officer_spouse.png
FS-004,image,Army Colonel Planning Retirement at Home,Federal Roles,Military retirement section,16:9,,Leadership; Dignified; Retirement Readiness; Family-Oriented,Military Retirees; Spouses; Senior Officers; Near-Retirees,Planning at Home; Reviewing Paperwork; Transition into Retirement; Service and Honor,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-005,image,Postal-Style Federal Worker Reviewing Retirement Paperwork,Federal Roles,Replace weak USPS-style image,16:9,,Hardworking; Familiar; Public Service; Reflective; Dignified,USPS-Style Workers; Federal Employees; Public Servants; Near-Retirees,Service and Honor; Transition into Retirement; Reviewing Paperwork,White; Black; Latino; Asian; Multiracial; Mixed Group,/artworks/generated/FS-005_postal_style_worker.png
FS-006,image,Federal Judge Reviewing Retirement Documents,Federal Roles,Credibility / federal professions section,16:9,,Authority; Wisdom; Professional; Clear; Dignified,Federal Judges; Civilian Professionals; Public Servants; Near-Retirees,Reviewing Paperwork; Federal Training; Transition into Retirement,White; Black; Latino; Asian; Multiracial; Mixed Group,/artworks/generated/FS-006_federal_judge.png
FS-007,image,Federal Civilian Professional at Home Office,Federal Roles,General federal employee section,16:9,,Professional; Calm; Relatable; Modern; Clear,Civilian Professionals; Federal Employees; Agency Workforce; Near-Retirees,Reviewing Paperwork; Planning at Home; Retirement Benefits,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-008,image,Couple Reviewing Benefits and Elections,Planning / Guidance,Benefits / elections section,16:9,,Decision-Making; Couple; Clarity; Benefits; Reassuring,Couples; Spouses; Federal Employees; Near-Retirees,Retirement Benefits; Reviewing Paperwork; Planning at Home,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-009,image,Trusted Advisor Consultation,Planning / Guidance,Consultation section,16:9,,Trustworthy; Guidance; Educational; Supportive; Professional,Federal Employees; Couples; Spouses; Near-Retirees,Consultation; Retirement Benefits; Reviewing Paperwork,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-010,image,Clarity Before Retirement,Planning / Guidance,Clarity / planning philosophy section,16:9,,Reflective; Understanding; Control; Confidence; Calm,Federal Employees; Near-Retirees; Civilian Professionals,Retirement Benefits; Reviewing Paperwork; Transition into Retirement,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-011,image,Concerned Individual Reviewing Paperwork,Concern to Clarity,Problem-awareness section,16:9,,Concern; Realistic; Solvable Problem; Emotional Truth; Supportive,Federal Employees; Near-Retirees; Civilian Professionals,Concern to Clarity; Reviewing Paperwork; Retirement Benefits,White; Black; Latino; Asian; Multiracial; Mixed Group,/artworks/generated/FS-011_concerned_individual.png
FS-012,image,Concerned Couple Solving It Together,Concern to Clarity,Emotional transition section,16:9,,Partnership; Realism; Support; Problem-Solving; Reassuring,Couples; Spouses; Federal Employees; Near-Retirees,Concern to Clarity; Planning at Home; Reviewing Paperwork,White; Black; Latino; Asian; Multiracial; Mixed Group,
FS-013,image,Grandparent and Grandchild,Family / Legacy,Legacy / family section,16:9,,Legacy; Family-Oriented; Love; Peace of Mind; Warm,Grandparents; Families; Federal Employees; Near-Retirees,Family Legacy; Life After Retirement,White; Black; Latino; Asian; Multiracial; Mixed Group,
